"","BS1","BS2","BS3","BS4","BS5","M1","M2","M3","M4","M5","V1","V2","V3","V4"
"ChrUn.fgenesh.gene.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.68",0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ChrUn.fgenesh.gene.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.78",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.81",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.82",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.83",0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ChrUn.fgenesh.gene.84",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.87",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.89",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.91",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.93",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.94",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ChrUn.fgenesh.gene.96",0,0,0,0,0,32,0,0,0,0,0,0,0,2
"LOC_Os01g01010",97,80,64,24,218,7,117,115,3,67,200,140,197,163
"LOC_Os01g01019",0,0,0,0,0,0,0,0,0,0,0,7,0,0
"LOC_Os01g01030",0,0,0,0,0,0,0,0,0,0,84,19,101,155
"LOC_Os01g01040",103,140,166,344,95,265,137,192,45,246,677,813,899,815
"LOC_Os01g01050",29,5,0,0,113,131,13,113,18,316,118,60,116,2
"LOC_Os01g01060",126.005,82.001,193.046,164,67,178,20,39,3,0,437,464,375,614
"LOC_Os01g01070",23,98,13,121,75,71,113,80,6,0,241,123,87,203
"LOC_Os01g01080",79,91,9,0,44,148,83,89,224,110,320,275,274,382
"LOC_Os01g01090",0,0,0,0,82.201,0,66,5,26.255,0,0,10,0,14
"LOC_Os01g01100",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01110",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01115",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01120",185.973,269,71,296,186.033,1320.002,968.834,1095.792,834.857,1220,44,0,61,2
"LOC_Os01g01130",8.027,2,95,39,1.967,29.998,48.166,118.208,29.143,22,50,199,210,323
"LOC_Os01g01140",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01150",57,290,289,217,187,512,543,145,230,1223,745,858,745.001,1043
"LOC_Os01g01160",560,756,462,681,503,1239,993,959,1432,1527,220,88,493,371
"LOC_Os01g01170",0,0,0,0,0,6,0,31,38,103,0,0,33,0
"LOC_Os01g01180",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01190",0,0,0,0,0,0,0,17,0,0,0,0,0,0
"LOC_Os01g01200",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01210",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01230",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01240",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01250",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01260",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01270",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01280",198,384,191,12,352,357,400,542,507,683,70,37,104,73
"LOC_Os01g01290",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01295",32,168,12,132,85,1,24,47,10,286,116,175,107,145
"LOC_Os01g01302",338,411,229,113,295,524,537,436,716,1152,138,106,47,63
"LOC_Os01g01307",173,128,53,44,149,297,173,59,68,226,1163,459,490,394
"LOC_Os01g01312",44,0,0,56,34,10,8,0,1,0,124,114,0,24
"LOC_Os01g01320",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01330",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01340",258,851.076,455,248,557,2921.83,1646,1799,3072,3375,642,448.008,545.088,333
"LOC_Os01g01350",0,0,0,0,0,0,0,0,1,0,43,0,0,0
"LOC_Os01g01360",1,1,0,0,0,0,0,0,0,0,19,2,5,0
"LOC_Os01g01369",17,39,29,1,83,69,23,60,0,0,149,270,333,222
"LOC_Os01g01380",3,62,0,0,40.976,0,29.005,44,0,107.85,58.995,1,11,31
"LOC_Os01g01390",134,112,74,0,1,75,67,66,96,71,180,296,263,123
"LOC_Os01g01400",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01410",59,163,57,0,19,236,43,119,2,1,293,179,260,473
"LOC_Os01g01420",418.865,376.064,305.182,249.709,187.55,1130.945,902.6,583.503,678.304,1398.319,1211.26,1281.572,1436.962,1387.871
"LOC_Os01g01430",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01440",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01450",1863,3343,1187,3329,2057,887,695,605,889,672,23971,23618,20870,24856
"LOC_Os01g01460",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01470",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01484",91,213,16,248,152,621,454,273,671,673,424,541,758,307
"LOC_Os01g01500",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01510",15,4,23,0,66,0,30,1,4,101,230,144,183,41
"LOC_Os01g01520",2,0,0,0,1,1,0,0,0,0,58,93,74,0
"LOC_Os01g01530",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01540",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01550",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01560",0,0,0,18,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01570",14,147,48,129,1,0,42,59,15,0,245,198,323,86
"LOC_Os01g01580",0,0,0,0,0,0,0,0,0,0,62,0,49,23
"LOC_Os01g01590",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01600",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01610",0,42,8,0,0,26,4,55,0,51,11,49,101,0
"LOC_Os01g01620",209,318,187,463,62,220,8,88,47,138,175,154,198,371
"LOC_Os01g01640",183,189,86,38,150,3,111,66,214,224,574,771,852,741
"LOC_Os01g01650",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01660",13,73,43,0,1,3,0,43,1,0,0,63,53,0
"LOC_Os01g01670",6,1,85,125,56,59,0,14,96,95,419,629,506,605
"LOC_Os01g01680",1,0,1,70,92,1,0,1,4,1,355,481,345,423
"LOC_Os01g01689",1,1,40,0,104,98,0,57,0,51,253,255,356,84
"LOC_Os01g01700",389,397,258,262,233,628,437,301,369,854,1088,1047,745,1130
"LOC_Os01g01710",1253,2040,1238,1233,863,3915,2881,2581,2372,5752,443,739,765,916
"LOC_Os01g01720",6,111,0,18,1,137,31,55,1,126,85,124,37,49
"LOC_Os01g01730",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01740",0,0,0,0,0,0,39,0,1,44,13,48,52,2
"LOC_Os01g01760",0,0,0,0,0,0,0,0,0,0,0,2,0,4
"LOC_Os01g01770",0,0,0,0,0,0,0,0,0,0,0,21,1,0
"LOC_Os01g01780",0,0,18,0,0,0,0,0,0,0,2,101,6,56
"LOC_Os01g01790",711,320,348,279,329,784,854,464,627,893,1073,975,581,1153
"LOC_Os01g01800",80,162,105,311,80,46,164,101,190,152,338,312,336,394
"LOC_Os01g01810",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01830",51,0,73,0,20,144,11,0,83,17,69,65,53,1
"LOC_Os01g01840",0,0,0,195,0,39,9,23,0,0,0,0,0,0
"LOC_Os01g01850",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01860",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01870",75,235,325,14,178,361,142,242,52,527,180,165,253,55
"LOC_Os01g01880",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01890",3,0,0,0,0,366,118,103,112,79,0,0,3,0
"LOC_Os01g01900",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01910",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01920",1,2,0,77,0,1,106,50,17,183,92,90,2,61
"LOC_Os01g01925",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01930",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01940",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01950",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01960",222,353,259,228,431,922,490,329,771,539,1391,1228,1198,1328
"LOC_Os01g01970",55,91,98,1,76,45,13,23,0,196,314,96,93,370
"LOC_Os01g01980",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g01990",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC_Os01g02000",0,0,0,0,0,1,0,0,2,1,190,236,135,331
"LOC_Os01g02010",0,0,0,0,0,1,0,0,1,0,24,1,1,0
"LOC_Os01g02020",37,226,0,2,134,2,37,30,71,146,308,112,155,385
"LOC_Os01g02040",1,0,54,35,0,0,1,2,1,0,156,115,127,19
