"","logFC.BSvsM","FDR.BSvsM","GENEID","logFC.MvsV","FDR.MvsV","logFC.BSvsV","FDR.BSvsV"
"30",2.80971476020498,6.36492651334467e-10,"LOC_Os04g20164",-1.28933635079273,1.4012780752546e-05,1.52037840941225,4.20680679873999e-06
"31",2.25735384805383,8.31750117971477e-10,"LOC_Os10g33800",-1.82036471510956,5.19509214810374e-09,0.436989132944274,0.0729547151459346
"32",3.35008659765779,9.21459796940551e-10,"LOC_Os01g45470",-6.82450732971263,1.11842654740103e-14,-3.47442073205483,2.22643948620224e-10
"33",2.64353536253512,9.28911249700662e-10,"LOC_Os07g40580",-4.47037920453061,7.82794896705483e-14,-1.82684384199548,1.11787888590515e-07
"34",6.98217071565863,9.91997576508652e-10,"LOC_Os06g50340",-9.89650819388183,1.22386291684631e-12,-2.9143374782232,3.1949996553007e-06
"35",4.50464225760816,1.04597480029004e-09,"LOC_Os02g32814",-7.1350925583774,4.46480406923765e-13,-2.63045030076924,5.92587806688416e-07
"36",3.788038722695,1.04597480029004e-09,"LOC_Os01g73250",-7.17676753373295,4.32043726403616e-14,-3.38872881103795,2.03787610152731e-09
"37",-1.86480253176918,1.05139199446834e-09,"LOC_Os07g37550",5.50662975713919,4.39810895512495e-16,3.64182722537001,1.42161041564121e-13
"38",4.52656038694797,1.15240635204955e-09,"LOC_Os07g48490",-7.22644705606613,4.99763993742293e-13,-2.69988666911816,5.68475527098956e-07
"39",3.23755819505598,1.30471368904184e-09,"LOC_Os05g42350",-3.25436998229907,2.54876423551209e-10,-0.0168117872430839,0.990694691138432
"40",3.52912279312215,1.97326070698708e-09,"LOC_Os10g36200",-3.46905981638133,4.97405420763753e-10,0.0600629767408203,0.964513801929859
"41",2.59915825791046,2.01823905932213e-09,"LOC_Os07g08840",-5.36579323684176,1.28373314183106e-14,-2.7666349789313,3.92107240131075e-10
"42",-2.7163968992683,3.06181936563745e-09,"LOC_Os06g40640",6.16298117234783,2.91532943799726e-14,3.44658427307954,1.54095418210818e-10
"43",2.46855284495997,4.94385928970876e-09,"LOC_Os03g05290",-0.00921272890786092,0.98888127199757,2.45934011605211,5.90995406738207e-09
"44",-1.77305348219119,5.06815414182815e-09,"LOC_Os12g08770",5.62097570948271,5.01054304516564e-16,3.84792222729152,1.42161041564121e-13
"45",3.43570279309369,5.53585078956872e-09,"LOC_Os03g32314",-3.07122837411264,5.49893717518823e-09,0.364474418981055,0.494813604334367
