"","GENEID"
"1593","LOC_Os01g59740"
"1596","LOC_Os01g59790"
"1599","LOC_Os01g59860"
"1601","LOC_Os01g59900"
"1607","LOC_Os01g59990"
"1616","LOC_Os01g60260"
"1618","LOC_Os01g60280"
"1621","LOC_Os01g60410"
"1623","LOC_Os01g60600"
"1630","LOC_Os01g60790"
"1631","LOC_Os01g60800"
"1641","LOC_Os01g61070"
"1647","LOC_Os01g61380"
"1652","LOC_Os01g61440"
"1664","LOC_Os01g61720"
"1673","LOC_Os01g61900"
"1684","LOC_Os01g62210"
"1686","LOC_Os01g62244"
"1688","LOC_Os01g62290"
"1691","LOC_Os01g62370"
"1706","LOC_Os01g62860"
"1707","LOC_Os01g62870"
"1717","LOC_Os01g63210"
"1726","LOC_Os01g63420"
"1733","LOC_Os01g63770"
"1735","LOC_Os01g63800"
"1740","LOC_Os01g63890"
"1742","LOC_Os01g63930"
"1747","LOC_Os01g64020"
"1749","LOC_Os01g64100"
"1751","LOC_Os01g64120"
"1752","LOC_Os01g64170"
"1753","LOC_Os01g64190"
"1761","LOC_Os01g64350"
"1764","LOC_Os01g64490"
"1765","LOC_Os01g64520"
"1768","LOC_Os01g64630"
"1769","LOC_Os01g64640"
"1770","LOC_Os01g64650"
"1772","LOC_Os01g64670"
"1773","LOC_Os01g64680"
"1775","LOC_Os01g64700"
"1784","LOC_Os01g64890"
"1810","LOC_Os01g65480"
"1814","LOC_Os01g65560"
"1823","LOC_Os01g65730"
"1835","LOC_Os01g66010"
"1836","LOC_Os01g66030"
"1844","LOC_Os01g66180"
"1862","LOC_Os01g66720"
"1866","LOC_Os01g66940"
"1888","LOC_Os01g67360"
"1890","LOC_Os01g67370"
"1892","LOC_Os01g67490"
"1903","LOC_Os01g67770"
"1906","LOC_Os01g67860"
"1921","LOC_Os01g68269"
"1922","LOC_Os01g68300"
"1925","LOC_Os01g68324"
"1947","LOC_Os01g68950"
"1953","LOC_Os01g69070"
"1955","LOC_Os01g69090"
"1956","LOC_Os01g69100"
"1970","LOC_Os01g69900"
"1974","LOC_Os01g69940"
"1983","LOC_Os01g70110"
"1985","LOC_Os01g70140"
"1987","LOC_Os01g70170"
"1992","LOC_Os01g70260"
"2009","LOC_Os01g70710"
"2011","LOC_Os01g70730"
"2014","LOC_Os01g70790"
"2017","LOC_Os01g70920"
"2018","LOC_Os01g70930"
"2021","LOC_Os01g70960"
"2027","LOC_Os01g71094"
"2028","LOC_Os01g71100"
"2033","LOC_Os01g71230"
"2040","LOC_Os01g71540"
"2052","LOC_Os01g72009"
"2055","LOC_Os01g72080"
"2057","LOC_Os01g72100"
"2058","LOC_Os01g72120"
"2059","LOC_Os01g72130"
"2060","LOC_Os01g72170"
"2071","LOC_Os01g72340"
"2075","LOC_Os01g72460"
"2077","LOC_Os01g72520"
"2078","LOC_Os01g72570"
"2086","LOC_Os01g72834"
"2089","LOC_Os01g72880"
"2097","LOC_Os01g73040"
"2102","LOC_Os01g73140"
"2103","LOC_Os01g73150"
"2108","LOC_Os01g73250"
"2109","LOC_Os01g73300"
"2131","LOC_Os01g73790"
"2137","LOC_Os01g73940"
"2138","LOC_Os01g73950"
"2148","LOC_Os01g74300"
"2158","LOC_Os01g74490"
"2180","LOC_Os02g01220"
"2184","LOC_Os02g01280"
"2196","LOC_Os02g01560"
"2204","LOC_Os02g01890"
"2217","LOC_Os02g02400"
"2218","LOC_Os02g02410"
"2240","LOC_Os02g02820"
"2241","LOC_Os02g02830"
"2244","LOC_Os02g02860"
"2245","LOC_Os02g02870"
"2247","LOC_Os02g02890"
"2263","LOC_Os02g03100"
"2274","LOC_Os02g03430"
"2280","LOC_Os02g03570"
"2288","LOC_Os02g03700"
"2296","LOC_Os02g03840"
