"","GENEID"
"1990","LOC_Os01g70210"
"1998","LOC_Os01g70400"
"2031","LOC_Os01g71190"
"2044","LOC_Os01g71720"
"2084","LOC_Os01g72800"
"2092","LOC_Os01g72950"
"2113","LOC_Os01g73450"
"2136","LOC_Os01g73910"
"2144","LOC_Os01g74190"
"2155","LOC_Os01g74450"
"2165","LOC_Os01g74650"
"2176","LOC_Os02g01150"
"2180","LOC_Os02g01220"
"2186","LOC_Os02g01340"
"2197","LOC_Os02g01590"
"2207","LOC_Os02g02000"
"2224","LOC_Os02g02520"
"2257","LOC_Os02g03010"
"2267","LOC_Os02g03250"
"2268","LOC_Os02g03260"
"2271","LOC_Os02g03330"
"2287","LOC_Os02g03670"
"2289","LOC_Os02g03710"
"2290","LOC_Os02g03720"
"2292","LOC_Os02g03740"
"2320","LOC_Os02g04330"
"2325","LOC_Os02g04460"
"2328","LOC_Os02g04510"
"2385","LOC_Os02g06300"
"2418","LOC_Os02g07110"
"2421","LOC_Os02g07160"
"2431","LOC_Os02g07360"
"2441","LOC_Os02g07740"
"2489","LOC_Os02g09340"
"2498","LOC_Os02g09510"
"2505","LOC_Os02g09750"
"2514","LOC_Os02g09940"
"2523","LOC_Os02g10120"
"2535","LOC_Os02g10350"
"2536","LOC_Os02g10390"
"2572","LOC_Os02g11110"
"2573","LOC_Os02g11640"
"2596","LOC_Os02g12790"
"2612","LOC_Os02g13170"
"2624","LOC_Os02g13560"
"2635","LOC_Os02g13970"
"2645","LOC_Os02g14440"
"2668","LOC_Os02g15540"
"2675","LOC_Os02g15660"
"2676","LOC_Os02g15750"
"2723","LOC_Os02g17920"
"2735","LOC_Os02g18450"
"2785","LOC_Os02g21009"
"2815","LOC_Os02g22100"
"2819","LOC_Os02g22260"
"2840","LOC_Os02g24598"
"2841","LOC_Os02g24612"
"2842","LOC_Os02g24614"
"2843","LOC_Os02g24636"
"2844","LOC_Os02g24642"
"2854","LOC_Os02g26210"
"2874","LOC_Os02g27030"
"2884","LOC_Os02g27490"
"2915","LOC_Os02g29550"
"2923","LOC_Os02g30110"
"2929","LOC_Os02g30320"
"2937","LOC_Os02g30630"
"2946","LOC_Os02g31070"
"2966","LOC_Os02g32250"
"2976","LOC_Os02g32469"
"2984","LOC_Os02g32730"
"2992","LOC_Os02g33010"
"2998","LOC_Os02g33110"
"3005","LOC_Os02g33330"
"3008","LOC_Os02g33450"
"3010","LOC_Os02g33500"
"3015","LOC_Os02g33710"
"3037","LOC_Os02g34810"
"3041","LOC_Os02g34860"
"3052","LOC_Os02g35090"
"3062","LOC_Os02g35190"
"3074","LOC_Os02g35620"
"3075","LOC_Os02g35630"
"3090","LOC_Os02g35900"
"3104","LOC_Os02g36570"
"3105","LOC_Os02g36590"
"3118","LOC_Os02g37030"
"3120","LOC_Os02g37060"
"3133","LOC_Os02g37600"
"3151","LOC_Os02g38020"
"3161","LOC_Os02g38210"
"3183","LOC_Os02g38820"
"3200","LOC_Os02g39160"
"3208","LOC_Os02g39360"
"3216","LOC_Os02g39570"
"3221","LOC_Os02g39710"
"3223","LOC_Os02g39730"
"3224","LOC_Os02g39740"
"3274","LOC_Os02g41860"
"3284","LOC_Os02g42290"
"3290","LOC_Os02g42350"
"3299","LOC_Os02g42570"
"3316","LOC_Os02g42960"
"3331","LOC_Os02g43350"
"3377","LOC_Os02g44630"
"3389","LOC_Os02g44980"
"3411","LOC_Os02g45540"
"3414","LOC_Os02g45660"
"3455","LOC_Os02g46660"
"3466","LOC_Os02g46980"
"3470","LOC_Os02g47020"
"3473","LOC_Os02g47120"
"3481","LOC_Os02g47310"
"3491","LOC_Os02g47510"
"3492","LOC_Os02g47560"
"3498","LOC_Os02g47620"
"3536","LOC_Os02g48560"
"3572","LOC_Os02g49326"
"3576","LOC_Os02g49440"
"3590","LOC_Os02g49680"
"3596","LOC_Os02g49870"
"3597","LOC_Os02g49880"
"3600","LOC_Os02g49970"
"3603","LOC_Os02g50010"
"3622","LOC_Os02g50560"
"3625","LOC_Os02g50620"
"3632","LOC_Os02g50810"
"3644","LOC_Os02g51020"
"3646","LOC_Os02g51070"
"3647","LOC_Os02g51080"
"3661","LOC_Os02g51410"
"3664","LOC_Os02g51450"
"3666","LOC_Os02g51470"
"3676","LOC_Os02g51710"
"3680","LOC_Os02g51820"
"3697","LOC_Os02g52260"
"3705","LOC_Os02g52390"
"3707","LOC_Os02g52420"
"3715","LOC_Os02g52620"
"3716","LOC_Os02g52650"
"3717","LOC_Os02g52744"
"3727","LOC_Os02g52940"
"3736","LOC_Os02g53130"
"3753","LOC_Os02g53530"
"3765","LOC_Os02g53860"
"3785","LOC_Os02g54510"
"3792","LOC_Os02g54730"
"3802","LOC_Os02g54980"
"3812","LOC_Os02g55120"
"3815","LOC_Os02g55140"
"3824","LOC_Os02g55420"
"3829","LOC_Os02g55520"
"3835","LOC_Os02g55630"
"3859","LOC_Os02g56200"
"3862","LOC_Os02g56250"
"3889","LOC_Os02g57020"
"3890","LOC_Os02g57030"
"3899","LOC_Os02g57160"
"3909","LOC_Os02g57280"
"3929","LOC_Os02g57620"
"3933","LOC_Os02g57660"
"3934","LOC_Os02g57670"
"3937","LOC_Os02g57720"
"3962","LOC_Os02g58310"
"3983","LOC_Os02g58790"
"3985","LOC_Os03g01014"
"4012","LOC_Os03g01570"
"4017","LOC_Os03g01750"
"4027","LOC_Os03g01920"
"4028","LOC_Os03g01930"
"4029","LOC_Os03g01940"
"4034","LOC_Os03g02020"
"4062","LOC_Os03g02590"
"4114","LOC_Os03g03640"
"4116","LOC_Os03g03670"
"4119","LOC_Os03g03720"
"4129","LOC_Os03g03910"
"4152","LOC_Os03g04440"
"4166","LOC_Os03g04680"
"4168","LOC_Os03g04710"
"4170","LOC_Os03g04770"
"4188","LOC_Os03g05290"
"4189","LOC_Os03g05310"
"4190","LOC_Os03g05320"
"4209","LOC_Os03g05800"
"4227","LOC_Os03g06230"
"4246","LOC_Os03g06630"
"4264","LOC_Os03g07300"
"4273","LOC_Os03g07440"
"4287","LOC_Os03g07960"
"4305","LOC_Os03g08270"
"4321","LOC_Os03g08570"
"4371","LOC_Os03g10060"
"4373","LOC_Os03g10080"
"4374","LOC_Os03g10090"
"4377","LOC_Os03g10180"
"4427","LOC_Os03g11230"
"4454","LOC_Os03g11780"
"4458","LOC_Os03g11900"
"4461","LOC_Os03g11960"
"4462","LOC_Os03g11970"
"4467","LOC_Os03g12020"
"4473","LOC_Os03g12160"
"4477","LOC_Os03g12250"
"4491","LOC_Os03g12530"
"4498","LOC_Os03g12660"
"4500","LOC_Os03g12700"
"4509","LOC_Os03g12890"
"4515","LOC_Os03g13010"
"4551","LOC_Os03g13950"
"4556","LOC_Os03g14040"
"4571","LOC_Os03g14510"
"4579","LOC_Os03g14669"
"4610","LOC_Os03g15460"
"4624","LOC_Os03g15740"
"4644","LOC_Os03g16050"
"4670","LOC_Os03g16670"
"4689","LOC_Os03g17070"
"4715","LOC_Os03g17600"
"4718","LOC_Os03g17660"
"4738","LOC_Os03g18070"
"4746","LOC_Os03g18200"
"4790","LOC_Os03g19240"
"4791","LOC_Os03g19250"
"4798","LOC_Os03g19380"
"4810","LOC_Os03g19560"
"4819","LOC_Os03g19760"
"4827","LOC_Os03g20010"
"4829","LOC_Os03g20100"
"4837","LOC_Os03g20380"
"4849","LOC_Os03g20640"
"4851","LOC_Os03g20700"
"4861","LOC_Os03g21000"
"4875","LOC_Os03g21370"
"4876","LOC_Os03g21380"
"4888","LOC_Os03g21560"
"4894","LOC_Os03g21664"
"4904","LOC_Os03g21890"
"4905","LOC_Os03g21900"
"4912","LOC_Os03g22050"
"4922","LOC_Os03g22270"
"4924","LOC_Os03g22330"
"4927","LOC_Os03g22370"
"4946","LOC_Os03g22780"
"4947","LOC_Os03g22790"
"4958","LOC_Os03g23010"
"4964","LOC_Os03g23980"
"4983","LOC_Os03g24860"
"5010","LOC_Os03g25850"
"5011","LOC_Os03g25869"
"5012","LOC_Os03g25940"
"5036","LOC_Os03g27040"
"5067","LOC_Os03g28300"
"5083","LOC_Os03g29730"
"5122","LOC_Os03g31300"
"5126","LOC_Os03g31490"
"5132","LOC_Os03g31690"
"5141","LOC_Os03g32490"
"5151","LOC_Os03g34040"
"5161","LOC_Os03g36540"
"5163","LOC_Os03g36750"
"5174","LOC_Os03g37411"
"5180","LOC_Os03g37640"
"5181","LOC_Os03g37730"
"5184","LOC_Os03g37840"
"5185","LOC_Os03g37864"
"5204","LOC_Os03g38730"
"5209","LOC_Os03g38950"
"5220","LOC_Os03g39610"
"5226","LOC_Os03g39830"
"5248","LOC_Os03g41080"
"5254","LOC_Os03g41330"
"5258","LOC_Os03g41510"
"5263","LOC_Os03g42110"
"5264","LOC_Os03g42130"
"5285","LOC_Os03g43430"
"5304","LOC_Os03g44210"
"5321","LOC_Os03g44740"
"5331","LOC_Os03g45220"
"5344","LOC_Os03g45710"
"5390","LOC_Os03g47610"
"5404","LOC_Os03g48000"
"5405","LOC_Os03g48030"
"5430","LOC_Os03g48920"
"5459","LOC_Os03g49600"
"5462","LOC_Os03g49630"
"5465","LOC_Os03g49710"
"5466","LOC_Os03g49720"
"5472","LOC_Os03g49940"
"5489","LOC_Os03g50270"
"5493","LOC_Os03g50310"
"5518","LOC_Os03g50870"
"5552","LOC_Os03g51650"
"5560","LOC_Os03g51920"
"5561","LOC_Os03g51930"
"5562","LOC_Os03g51950"
"5563","LOC_Os03g51960"
"5565","LOC_Os03g52010"
"5567","LOC_Os03g52130"
"5569","LOC_Os03g52170"
"5578","LOC_Os03g52460"
"5585","LOC_Os03g52660"
"5597","LOC_Os03g52840"
"5618","LOC_Os03g53300"
"5643","LOC_Os03g53930"
