"","GENEID"
"6717","LOC_Os04g40950"
"6724","LOC_Os04g41130"
"6763","LOC_Os04g42090"
"6767","LOC_Os04g42134"
"6803","LOC_Os04g42930"
"6823","LOC_Os04g43550"
"6827","LOC_Os04g43710"
"6847","LOC_Os04g44530"
"6885","LOC_Os04g45460"
"6930","LOC_Os04g46470"
"6932","LOC_Os04g46560"
"6955","LOC_Os04g47240"
"6960","LOC_Os04g47300"
"6961","LOC_Os04g47310"
"6969","LOC_Os04g47690"
"6976","LOC_Os04g47890"
"6987","LOC_Os04g48290"
"7065","LOC_Os04g51340"
"7097","LOC_Os04g51950"
"7147","LOC_Os04g52860"
"7176","LOC_Os04g53620"
"7181","LOC_Os04g53740"
"7200","LOC_Os04g54410"
"7202","LOC_Os04g54430"
"7204","LOC_Os04g54474"
"7228","LOC_Os04g55220"
"7245","LOC_Os04g55710"
"7261","LOC_Os04g56160"
"7306","LOC_Os04g57220"
"7386","LOC_Os04g58800"
"7408","LOC_Os04g59400"
"7417","LOC_Os04g59560"
"7451","LOC_Os05g01480"
"7479","LOC_Os05g02020"
"7482","LOC_Os05g02070"
"7485","LOC_Os05g02140"
"7490","LOC_Os05g02250"
"7493","LOC_Os05g02310"
"7501","LOC_Os05g02530"
"7505","LOC_Os05g02750"
"7507","LOC_Os05g02780"
"7519","LOC_Os05g03140"
"7528","LOC_Os05g03530"
"7542","LOC_Os05g03934"
"7543","LOC_Os05g04000"
"7553","LOC_Os05g04380"
"7554","LOC_Os05g04510"
"7571","LOC_Os05g05020"
"7572","LOC_Os05g05030"
"7573","LOC_Os05g05060"
"7636","LOC_Os05g06500"
"7641","LOC_Os05g06660"
"7650","LOC_Os05g06780"
"7673","LOC_Os05g07680"
"7679","LOC_Os05g07764"
"7684","LOC_Os05g07890"
"7724","LOC_Os05g09410"
"7760","LOC_Os05g11510"
"7767","LOC_Os05g11780"
"7768","LOC_Os05g11810"
"7772","LOC_Os05g11910"
"7779","LOC_Os05g12320"
"7792","LOC_Os05g13440"
"7800","LOC_Os05g14010"
"7802","LOC_Os05g14180"
"7840","LOC_Os05g19150"
"7879","LOC_Os05g23340"
"7921","LOC_Os05g25310"
"7950","LOC_Os05g27320"
"7956","LOC_Os05g27780"
"7968","LOC_Os05g28180"
"7983","LOC_Os05g28870"
"8046","LOC_Os05g32130"
"8060","LOC_Os05g32420"
"8089","LOC_Os05g33220"
"8122","LOC_Os05g33900"
"8135","LOC_Os05g34210"
"8151","LOC_Os05g34770"
"8160","LOC_Os05g34980"
"8203","LOC_Os05g36350"
"8204","LOC_Os05g36360"
"8229","LOC_Os05g37730"
"8254","LOC_Os05g38370"
"8256","LOC_Os05g38470"
"8333","LOC_Os05g40960"
"8356","LOC_Os05g41460"
"8374","LOC_Os05g41900"
"8391","LOC_Os05g42424"
"8397","LOC_Os05g43240"
"8398","LOC_Os05g43252"
"8422","LOC_Os05g43830"
"8435","LOC_Os05g44210"
"8447","LOC_Os05g44560"
"8448","LOC_Os05g44570"
"8475","LOC_Os05g45440"
"8476","LOC_Os05g45450"
"8477","LOC_Os05g45490"
"8536","LOC_Os05g47446"
"8537","LOC_Os05g47470"
"8550","LOC_Os05g47840"
"8554","LOC_Os05g47980"
"8616","LOC_Os05g49200"
"8619","LOC_Os05g49240"
"8643","LOC_Os05g49890"
"8659","LOC_Os05g50350"
"8660","LOC_Os05g50360"
"8676","LOC_Os05g50710"
"8701","LOC_Os05g51440"
"8717","LOC_Os05g51670"
"8719","LOC_Os05g51700"
"8791","LOC_Os06g02560"
"8797","LOC_Os06g02630"
"8799","LOC_Os06g02830"
"8800","LOC_Os06g02850"
"8803","LOC_Os06g02960"
"8880","LOC_Os06g04830"
"8885","LOC_Os06g04920"
"8892","LOC_Os06g05120"
"8895","LOC_Os06g05160"
"8907","LOC_Os06g05480"
"8924","LOC_Os06g05880"
"8942","LOC_Os06g06290"
"8943","LOC_Os06g06320"
"8952","LOC_Os06g06550"
"8980","LOC_Os06g07230"
"9009","LOC_Os06g08280"
"9051","LOC_Os06g09420"
"9074","LOC_Os06g10210"
"9080","LOC_Os06g10510"
"9098","LOC_Os06g11130"
"9117","LOC_Os06g11610"
"9143","LOC_Os06g12310"
"9144","LOC_Os06g12320"
"9177","LOC_Os06g13210"
"9236","LOC_Os06g16300"
"9264","LOC_Os06g18990"
"9269","LOC_Os06g19444"
"9313","LOC_Os06g21690"
"9314","LOC_Os06g21730"
"9335","LOC_Os06g22870"
"9371","LOC_Os06g26270"
"9389","LOC_Os06g28630"
"9408","LOC_Os06g29790"
"9447","LOC_Os06g34070"
"9454","LOC_Os06g34730"
"9455","LOC_Os06g34790"
"9469","LOC_Os06g35940"
"9509","LOC_Os06g38294"
"9560","LOC_Os06g40360"
"9564","LOC_Os06g40450"
"9634","LOC_Os06g43190"
"9651","LOC_Os06g43690"
"9654","LOC_Os06g43760"
"9723","LOC_Os06g45670"
"9755","LOC_Os06g46770"
"9764","LOC_Os06g46995"
"9785","LOC_Os06g47640"
"9804","LOC_Os06g48320"
"9826","LOC_Os06g48960"
"9829","LOC_Os06g49010"
"9853","LOC_Os06g49490"
"9881","LOC_Os06g50080"
"9894","LOC_Os06g50340"
"9904","LOC_Os06g50860"
"9992","LOC_Os07g02800"
"10090","LOC_Os07g07240"
"10155","LOC_Os07g08840"
