"","GENEID"
"2078","LOC_Os01g72570"
"2097","LOC_Os01g73040"
"2103","LOC_Os01g73150"
"2108","LOC_Os01g73250"
"2137","LOC_Os01g73940"
"2148","LOC_Os01g74300"
"2155","LOC_Os01g74450"
"2179","LOC_Os02g01210"
"2180","LOC_Os02g01220"
"2184","LOC_Os02g01280"
"2196","LOC_Os02g01560"
"2204","LOC_Os02g01890"
"2217","LOC_Os02g02400"
"2218","LOC_Os02g02410"
"2241","LOC_Os02g02830"
"2245","LOC_Os02g02870"
"2247","LOC_Os02g02890"
"2280","LOC_Os02g03570"
"2288","LOC_Os02g03700"
"2296","LOC_Os02g03840"
"2311","LOC_Os02g04120"
"2317","LOC_Os02g04260"
"2353","LOC_Os02g05330"
"2383","LOC_Os02g06180"
"2398","LOC_Os02g06640"
"2400","LOC_Os02g06700"
"2416","LOC_Os02g07060"
"2426","LOC_Os02g07240"
"2428","LOC_Os02g07260"
"2436","LOC_Os02g07490"
"2446","LOC_Os02g07820"
"2447","LOC_Os02g07830"
"2448","LOC_Os02g07840"
"2451","LOC_Os02g07890"
"2497","LOC_Os02g09490"
"2520","LOC_Os02g10070"
"2549","LOC_Os02g10660"
"2561","LOC_Os02g10860"
"2562","LOC_Os02g10920"
"2586","LOC_Os02g12480"
"2594","LOC_Os02g12750"
"2606","LOC_Os02g13060"
"2611","LOC_Os02g13150"
"2619","LOC_Os02g13380"
"2621","LOC_Os02g13510"
"2633","LOC_Os02g13950"
"2640","LOC_Os02g14110"
"2643","LOC_Os02g14170"
"2646","LOC_Os02g14480"
"2717","LOC_Os02g17680"
"2733","LOC_Os02g18380"
"2739","LOC_Os02g18640"
"2760","LOC_Os02g19770"
"2762","LOC_Os02g19820"
"2772","LOC_Os02g20360"
"2794","LOC_Os02g21280"
"2804","LOC_Os02g21750"
"2822","LOC_Os02g22380"
"2852","LOC_Os02g25780"
"2854","LOC_Os02g26210"
"2896","LOC_Os02g28074"
"2902","LOC_Os02g28900"
"2908","LOC_Os02g29380"
"2910","LOC_Os02g29464"
"2923","LOC_Os02g30110"
"2925","LOC_Os02g30180"
"2932","LOC_Os02g30420"
"2949","LOC_Os02g31140"
"2958","LOC_Os02g32009"
"2960","LOC_Os02g32030"
"2977","LOC_Os02g32504"
"2988","LOC_Os02g32814"
"2990","LOC_Os02g32980"
"2998","LOC_Os02g33110"
"3018","LOC_Os02g33780"
"3045","LOC_Os02g34990"
"3061","LOC_Os02g35180"
"3111","LOC_Os02g36890"
"3134","LOC_Os02g37610"
"3143","LOC_Os02g37870"
"3152","LOC_Os02g38029"
"3167","LOC_Os02g38350"
"3186","LOC_Os02g38900"
"3189","LOC_Os02g38970"
"3192","LOC_Os02g39030"
"3197","LOC_Os02g39080"
"3225","LOC_Os02g39790"
"3229","LOC_Os02g39850"
"3262","LOC_Os02g40890"
"3268","LOC_Os02g41590"
"3269","LOC_Os02g41630"
"3274","LOC_Os02g41860"
"3277","LOC_Os02g42020"
"3289","LOC_Os02g42330"
"3295","LOC_Os02g42440"
"3301","LOC_Os02g42585"
"3317","LOC_Os02g42990"
"3336","LOC_Os02g43540"
"3337","LOC_Os02g43550"
"3341","LOC_Os02g43700"
"3368","LOC_Os02g44360"
"3369","LOC_Os02g44370"
"3370","LOC_Os02g44500"
"3377","LOC_Os02g44630"
"3387","LOC_Os02g44930"
"3401","LOC_Os02g45200"
"3410","LOC_Os02g45520"
"3474","LOC_Os02g47140"
"3479","LOC_Os02g47210"
"3488","LOC_Os02g47450"
"3502","LOC_Os02g47744"
"3509","LOC_Os02g47850"
"3515","LOC_Os02g47940"
"3533","LOC_Os02g48390"
"3543","LOC_Os02g48660"
"3547","LOC_Os02g48720"
"3552","LOC_Os02g48820"
"3564","LOC_Os02g49080"
"3609","LOC_Os02g50240"
"3632","LOC_Os02g50810"
"3676","LOC_Os02g51710"
"3688","LOC_Os02g52130"
"3692","LOC_Os02g52180"
"3708","LOC_Os02g52430"
"3727","LOC_Os02g52940"
"3730","LOC_Os02g52990"
"3736","LOC_Os02g53130"
"3745","LOC_Os02g53340"
"3752","LOC_Os02g53510"
"3803","LOC_Os02g54990"
"3823","LOC_Os02g55370"
"3863","LOC_Os02g56270"
"3884","LOC_Os02g56960"
"3905","LOC_Os02g57240"
"3917","LOC_Os02g57420"
"3929","LOC_Os02g57620"
"3937","LOC_Os02g57720"
"3972","LOC_Os02g58540"
"3995","LOC_Os03g01170"
"4004","LOC_Os03g01250"
"4020","LOC_Os03g01810"
"4026","LOC_Os03g01910"
"4036","LOC_Os03g02070"
"4056","LOC_Os03g02480"
"4060","LOC_Os03g02550"
"4068","LOC_Os03g02685"
"4076","LOC_Os03g02820"
